filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
asavari01.wav,0.300183088,0.32508263,1206.546396,1155.047276,1964.071457,0.074106506,-91.90499878,161.1022644,-74.4858017,5.615185261,-51.74045944,-6.594140053,-29.29377937,-30.91834068,-33.28923798,-28.62979507,-5.082414627,-15.0733633,2.223300934,-13.6349926,-0.754969716,-8.234992027,-22.9552784,-7.821909428,-16.77939034,-16.57734489,asavari
asavari02.wav,0.327855527,0.284175575,1427.439451,1217.099687,2564.109495,0.092367166,-91.21986389,158.8376617,-97.3331604,10.90955639,-51.64648438,2.594857454,-17.96469879,-14.71392727,-21.7532177,-20.41329384,0.125094488,-21.96805382,-4.073012829,-15.47128391,-5.398392677,-16.70317841,-21.58263588,-9.302790642,-17.80082893,-12.78038216,asavari
asavari03.wav,0.327855587,0.284175575,1427.441226,1217.104606,2564.126162,0.092369434,-91.21990204,158.8376007,-97.33318329,10.9095192,-51.64654922,2.594843626,-17.96475792,-14.71396828,-21.75321388,-20.41340446,0.125155136,-21.96817017,-4.072989941,-15.47136497,-5.398420811,-16.7031765,-21.58274841,-9.302716255,-17.80097198,-12.78028679,asavari
asavari04.wav,0.321696788,0.237889409,1199.219412,1119.835959,1982.704678,0.076578146,-134.350235,170.1576843,-64.38932037,-2.495840073,-32.99863434,-11.78129864,-21.48161125,-13.5841217,-30.11032486,-25.37184143,7.053437233,-18.55430794,-7.357093811,-9.861737251,-6.845128536,-5.518451691,-16.98517609,-3.947621584,-11.1823101,-13.03959751,asavari
asavari05.wav,0.280996531,0.328169942,1176.39412,1109.925828,1948.704883,0.069996175,-86.09926605,171.1774445,-77.12506104,11.51508045,-32.74779892,-5.165399075,-31.35709572,-34.87882233,-32.14893723,-20.95613861,-4.617053509,-25.67391205,1.373923063,-12.45385361,-13.39169407,-13.49867916,-14.90821934,2.030709743,-11.52072144,-14.09454536,asavari
asavari25.wav,0.253444284,0.072143979,2293.283602,2167.771819,4453.073073,0.104124465,-291.2286682,53.991436,-13.00732899,35.18709946,-12.0053854,9.878199577,0.336893499,0.441375732,1.457231998,5.780820847,-4.10684824,-5.078658104,-13.4984684,6.631669521,-10.21676064,3.168458462,0.886206269,7.802039146,9.028351784,9.940994263,asavari
asavari26.wav,0.249763921,0.008229174,1867.395635,2128.407512,3730.060778,0.067802689,-506.7096558,72.20132446,-4.250007629,32.33959961,-3.696719885,11.87587643,-3.104769945,3.382179737,5.574201584,8.749403,-2.782904625,-6.582186222,-3.650759935,7.17573452,-10.41255665,6.237299919,4.218763351,11.11953926,10.7406702,11.52101231,asavari
asavari27.wav,0.243017048,0.045335066,1955.703362,2138.605785,3841.101773,0.077172625,-326.9839478,75.80703735,-5.43766737,30.12722206,-6.00777626,8.693594933,2.233393431,0.247940019,0.627387524,12.28061008,-5.090520382,-5.999689579,-6.153501034,4.637569904,-7.204371929,-1.883527756,-3.534433603,-1.73588407,-3.139124155,6.527245522,asavari
asavari28.wav,0.246581554,0.044941887,1985.613041,2182.127641,3950.984442,0.074230466,-325.0038147,74.18991852,-4.976498127,29.4763031,-5.275134563,9.950242996,3.712875128,0.36017248,-0.73987323,13.35396004,-4.546646595,-5.330456257,-5.770468235,3.423609972,-6.421062469,-1.428525925,-5.33236599,-1.381054997,-3.232648611,5.878148079,asavari
asavari29.wav,0.246582583,0.044941895,1985.620537,2182.130924,3950.901109,0.074219128,-325.00354,74.18976593,-4.976386547,29.47613907,-5.27493906,9.95007515,3.712849379,0.36039719,-0.740305305,13.35442543,-4.547122955,-5.329879284,-5.771240234,3.424136162,-6.42138958,-1.428281307,-5.332260132,-1.38102603,-3.232441902,5.877972603,asavari
